"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2022","4,220.6200000","3,967.3900000","4,220.6200000","3,963.9300000","51,916,451,130","0,0"
"Mar 30, 2022","3,940.6700000","3,857.5900000","3,953.6500000","3,857.5900000","18,930,224,999","0,0"
"Mar 29, 2022","3,790.9900000","3,881.4500000","4,040.2400000","3,712.5100000","30,744,478,870","0,0"
"Mar 28, 2022","3,876.3200000","4,034.6400000","4,034.6400000","3,849.7300000","16,217,925,564","0,0"
"Feb 25, 2022","3,980.2000000","3,648.4100000","4,163.2800000","3,603.2300000","133,112,217,998","0,0"
"Feb 24, 2022","3,413.2900000","4,361.8500000","4,378.9500000","2,762.7800000","177,373,566,888","0,0"
"Feb 22, 2022","4,922.7800000","4,491.5100000","4,978.0300000","4,384.4800000","292,173,528,396","0,0"
"Feb 21, 2022","4,748.2000000","5,445.4700000","5,462.1900000","4,577.2400000","338,974,712,227","0,0"
"Feb 18, 2022","5,369.5400000","5,558.6900000","5,615.7900000","5,327.7400000","119,608,550,608","0,0"
"Feb 17, 2022","5,525.2400000","5,741.3000000","5,741.3000000","5,504.1900000","113,191,265,739","0,0"
"Feb 16, 2022","5,802.6600000","5,794.9100000","5,831.6400000","5,724.8200000","86,653,292,901","0,0"
"Feb 15, 2022","5,723.3300000","5,622.7900000","5,788.0600000","5,610.6500000","119,195,901,767","0,0"
"Feb 14, 2022","5,579.0700000","5,463.5900000","5,652.3800000","5,456.6800000","129,040,285,628","0,0"
"Feb 11, 2022","5,661.0300000","5,753.0400000","5,753.0400000","5,608.4900000","94,265,135,832","0,0"
"Feb 10, 2022","5,803.4500000","5,769.6900000","5,804.3800000","5,674.9900000","87,705,401,144","0,0"
"Feb 09, 2022","5,791.6800000","5,702.0100000","5,791.6800000","5,680.9100000","93,281,224,050","0,0"
"Feb 08, 2022","5,634.5500000","5,490.9900000","5,634.5500000","5,486.1700000","87,883,986,728","0,0"
"Feb 07, 2022","5,455.3000000","5,484.0000000","5,501.6800000","5,412.2400000","52,038,970,724","0,0"
"Feb 04, 2022","5,432.7800000","5,464.8100000","5,561.2800000","5,425.1200000","86,708,119,466","0,0"
"Feb 03, 2022","5,441.5800000","5,481.9000000","5,509.7100000","5,406.1800000","68,144,459,293","0,0"
"Feb 02, 2022","5,514.9800000","5,525.8700000","5,560.2300000","5,463.9300000","73,957,110,976","0,0"
"Feb 01, 2022","5,510.4400000","5,524.2900000","5,561.5300000","5,479.7600000","71,425,125,097","0,0"
"Jan 31, 2022","5,500.1300000","5,512.1600000","5,597.1700000","5,500.1300000","77,730,879,122","0,0"
"Jan 28, 2022","5,477.0900000","5,461.3400000","5,513.7300000","5,387.3100000","94,899,055,415","0,0"
"Jan 27, 2022","5,399.8100000","5,174.6700000","5,513.1000000","5,139.3600000","168,256,252,253","0,0"
"Jan 26, 2022","5,244.9600000","5,166.0000000","5,319.0000000","5,096.6000000","109,884,673,111","0,0"
"Jan 25, 2022","5,096.8800000","5,177.8000000","5,215.2300000","5,048.0900000","106,356,233,350","0,0"
"Jan 24, 2022","5,095.4500000","5,407.1700000","5,407.1700000","4,954.1100000","164,164,640,983","0,0"
"Jan 21, 2022","5,419.0600000","5,483.5600000","5,534.0900000","5,385.2600000","129,302,645,997","0,0"
"Jan 20, 2022","5,542.6700000","5,488.8100000","5,574.2100000","5,382.6500000","136,081,538,699","0,0"
"Jan 19, 2022","5,420.6900000","5,122.9300000","5,502.7200000","5,099.6000000","175,864,901,245","0,0"
"Jan 18, 2022","5,220.0300000","5,547.8500000","5,548.8200000","5,170.1300000","226,409,383,590","0,0"
"Jan 17, 2022","5,576.6500000","5,662.5800000","5,711.1800000","5,472.8200000","108,571,709,445","0,0"
"Jan 14, 2022","5,630.0100000","5,754.4300000","5,798.7200000","5,487.5100000","175,893,948,284","0,0"
"Jan 13, 2022","5,721.9200000","5,904.5800000","5,940.9400000","5,688.7400000","131,207,181,458","0,0"
"Jan 12, 2022","5,946.3900000","5,897.2600000","5,962.2000000","5,878.0400000","68,390,499,421","0,0"
"Jan 11, 2022","5,893.5400000","5,833.4400000","5,919.0500000","5,814.8800000","52,176,814,043","0,0"
"Jan 10, 2022","5,821.2300000","5,858.8500000","5,912.1500000","5,807.9500000","53,867,811,579","0,0"
"Jan 06, 2022","5,813.1300000","5,812.6000000","5,841.9600000","5,757.7900000","52,996,424,327","0,0"
"Jan 05, 2022","5,890.3000000","5,925.1100000","5,950.6800000","5,871.6700000","39,426,053,071","0,0"
"Jan 04, 2022","5,942.7900000","5,924.1100000","5,957.6300000","5,893.0000000","39,765,901,471","0,0"
"Jan 03, 2022","5,901.1600000","5,849.6600000","5,918.3400000","5,849.6600000","34,349,119,651","0,0"
"Dec 30, 2021","5,821.6800000","5,771.4400000","5,823.9100000","5,757.8100000","38,411,382,350","0,0"
"Dec 29, 2021","5,765.0600000","5,778.5000000","5,782.8100000","5,721.2600000","35,587,712,578","0,0"
"Dec 28, 2021","5,789.9100000","5,746.9000000","5,802.9000000","5,741.1200000","36,314,008,210","0,0"
"Dec 27, 2021","5,708.0200000","5,644.1900000","5,708.0200000","5,644.1900000","29,230,872,235","0,0"
"Dec 24, 2021","5,630.5400000","5,623.5200000","5,632.1800000","5,554.0400000","28,198,343,573","0,0"
"Dec 23, 2021","5,625.9500000","5,662.9700000","5,673.2800000","5,584.6000000","48,893,866,006","0,0"
"Dec 22, 2021","5,645.4600000","5,569.4100000","5,653.4800000","5,562.3000000","58,543,025,993","0,0"
"Dec 21, 2021","5,559.9000000","5,570.1200000","5,604.4700000","5,525.7100000","53,954,671,311","0,0"
"Dec 20, 2021","5,534.6400000","5,526.7600000","5,539.7100000","5,428.9100000","62,309,811,774","0,0"
"Dec 17, 2021","5,571.0600000","5,588.2200000","5,588.2200000","5,512.1100000","81,151,533,125","0,0"
"Dec 16, 2021","5,599.8300000","5,494.8200000","5,608.1000000","5,494.8200000","91,008,422,978","0,0"
"Dec 15, 2021","5,391.2700000","5,415.4600000","5,461.9200000","5,364.9200000","56,568,442,063","0,0"
"Dec 14, 2021","5,394.8500000","5,264.1200000","5,429.2200000","5,256.0100000","99,815,520,665","0,0"
"Dec 13, 2021","5,400.1700000","5,641.5100000","5,669.1900000","5,398.0600000","99,694,711,977","0,0"
"Dec 10, 2021","5,638.8100000","5,709.5400000","5,716.2100000","5,634.9400000","54,459,254,321","0,0"
"Dec 09, 2021","5,718.4100000","5,631.0000000","5,727.9100000","5,631.0000000","78,010,147,497","0,0"
"Dec 08, 2021","5,672.0900000","5,790.9200000","5,809.3500000","5,665.4200000","100,109,565,396","0,0"
"Dec 07, 2021","5,737.7300000","5,690.1300000","5,753.4500000","5,638.1200000","89,280,057,741","0,0"
"Dec 06, 2021","5,645.0200000","5,811.9600000","5,811.9600000","5,626.5600000","67,291,011,978","0,0"
"Dec 03, 2021","5,776.5500000","5,848.4200000","5,861.0400000","5,773.3100000","48,755,199,418","0,0"
"Dec 02, 2021","5,822.3000000","5,761.2500000","5,835.5200000","5,741.9700000","71,526,452,000","0,0"
"Dec 01, 2021","5,794.0400000","5,747.4900000","5,804.5900000","5,737.9000000","79,104,288,411","0,0"
"Nov 30, 2021","5,700.1000000","5,650.9000000","5,755.1100000","5,641.8100000","88,027,677,201","0,0"
"Nov 29, 2021","5,724.5200000","5,705.6300000","5,804.0300000","5,678.8900000","86,738,745,492","0,0"
"Nov 26, 2021","5,628.7200000","5,686.3600000","5,725.4800000","5,628.7200000","90,327,118,212","0,0"
"Nov 25, 2021","5,827.8000000","5,877.6500000","5,902.1700000","5,812.9100000","44,169,297,975","0,0"
"Nov 24, 2021","5,857.4400000","5,939.8300000","5,951.8300000","5,805.7000000","80,535,964,836","0,0"
"Nov 23, 2021","5,827.3200000","5,699.8700000","5,850.8300000","5,601.2100000","99,831,015,172","0,0"
"Nov 22, 2021","5,733.5900000","5,884.6800000","5,904.4100000","5,702.7100000","99,849,037,233","0,0"
"Nov 19, 2021","5,889.3300000","6,074.0700000","6,078.4900000","5,862.2700000","85,365,163,771","0,0"
"Nov 18, 2021","6,009.7900000","5,996.2400000","6,072.8200000","5,981.9200000","73,160,622,744","0,0"
"Nov 17, 2021","6,039.2900000","5,985.4600000","6,039.2900000","5,969.4800000","59,750,186,082","0,0"
"Nov 16, 2021","5,980.4900000","6,022.6400000","6,038.8900000","5,964.8500000","68,618,617,332","0,0"
"Nov 15, 2021","5,997.7000000","5,960.5700000","6,042.5200000","5,943.7100000","65,511,067,010","0,0"
